,id,name,host_id,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,last_scraped,host_response_time,host_neighbourhood,neighbourhood_cleansed,city,state,market,country,latitude,longitude,availability_365,cleaning_fee,security_deposit,calendar_last_scraped
0,241032,Stylish Queen Anne Apartment,956883,Maija,11-08-2011,f,3.0,3.0,t,t,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer}",$85.00,2,$5.00,1,365,207,f,moderate,f,f,2,2016-01-04,within a few hours,Queen Anne,West Queen Anne,Seattle,WA,Seattle,United States,47.636289038357184,-122.37102519997764,346,0.0,0.0,2016-01-04
1,953595,Bright & Airy Queen Anne Apartment,5177328,Andrea,21-02-2013,t,6.0,6.0,t,t,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",$150.00,1,$0.00,2,90,43,f,strict,t,t,6,2016-01-04,within an hour,Queen Anne,West Queen Anne,Seattle,WA,Seattle,United States,47.63912312136253,-122.36566646439582,291,40.0,100.0,2016-01-04
2,3308979,New Modern House-Amazing water view,16708587,Jill,12-06-2014,f,2.0,2.0,t,t,t,House,Entire home/apt,11,4.5,5.0,7.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",$975.00,10,$25.00,4,30,20,f,strict,f,f,2,2016-01-04,within a few hours,Queen Anne,West Queen Anne,Seattle,WA,Seattle,United States,47.62972413157736,-122.3694831756176,220,300.0,1000.0,2016-01-04
3,7421966,Queen Anne Chateau,9851441,Emily,06-11-2013,f,1.0,1.0,t,t,t,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",$100.00,1,$0.00,1,1125,0,f,flexible,f,f,1,2016-01-04,Unknown,Queen Anne,West Queen Anne,Seattle,WA,Seattle,United States,47.638473201766416,-122.36927912263018,143,0.0,0.0,2016-01-04
4,278830,Charming craftsman 3 bdm house,1452570,Emily,29-11-2011,f,2.0,2.0,t,t,t,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",$450.00,6,$15.00,1,1125,38,f,strict,f,f,1,2016-01-04,within an hour,Queen Anne,West Queen Anne,Seattle,WA,Seattle,United States,47.63291840276724,-122.37247063402224,365,125.0,700.0,2016-01-04
5,5956968,Private unit in a 1920s mansion,326758,Andrew,25-12-2010,f,1.0,1.0,t,t,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",Essentials,Shampoo}",$120.00,1,$30.00,1,6,17,f,strict,f,f,1,2016-01-04,Unknown,Queen Anne,West Queen Anne,Seattle,WA,Seattle,United States,47.63052548240193,-122.36617406518856,302,40.0,0.0,2016-01-04
6,1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,30-05-2012,t,1.0,1.0,t,t,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",$80.00,1,$10.00,3,14,58,f,moderate,f,f,1,2016-01-04,within an hour,Queen Anne,West Queen Anne,Seattle,WA,Seattle,United States,47.63660544532006,-122.36851905844937,346,0.0,150.0,2016-01-04
7,856550,Tiny Garden cabin on Queen Anne  ,4016632,Jean-Marc,30-10-2012,t,5.0,5.0,t,t,t,Cabin,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Essentials,Shampoo}",$60.00,1,$0.00,2,7,173,f,strict,t,t,5,2016-01-04,within an hour,Queen Anne,West Queen Anne,Seattle,WA,Seattle,United States,47.64016054121466,-122.37585597885769,100,25.0,150.0,2016-01-04
8,4948745,Urban Charm || Downtown || Views,2166277,Aliza,18-04-2012,f,1.0,1.0,t,t,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",$90.00,1,$0.00,3,1125,8,f,strict,f,f,1,2016-01-04,Unknown,Queen Anne,West Queen Anne,Seattle,WA,Seattle,United States,47.63241029982899,-122.35721606914028,341,0.0,0.0,2016-01-04
9,2493658,Airy + Bright Queen Anne Apartment,5177328,Andrea,21-02-2013,t,6.0,6.0,t,t,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",$150.00,1,$0.00,2,365,32,f,strict,t,t,6,2016-01-04,within an hour,Queen Anne,West Queen Anne,Seattle,WA,Seattle,United States,47.63749172022628,-122.3668885909212,324,40.0,100.0,2016-01-04
