id,name,host_id,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
241032,Stylish Queen Anne Apartment,956883,Maija,11-08-2011,f,3,3,t,t,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer}",,$85.00,2,$5.00,1,365,207,95,f,moderate,f,f,2,4.07
953595,Bright & Airy Queen Anne Apartment,5177328,Andrea,21-02-2013,t,6,6,t,t,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",,$150.00,1,$0.00,2,90,43,96,f,strict,t,t,6,1.48
3308979,New Modern House-Amazing water view,16708587,Jill,12-06-2014,f,2,2,t,t,t,House,Entire home/apt,11,4.5,5,7,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,$975.00,10,$25.00,4,30,20,97,f,strict,f,f,2,1.15
7421966,Queen Anne Chateau,9851441,Emily,06-11-2013,f,1,1,t,t,t,Apartment,Entire home/apt,3,1,0,2,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,$100.00,1,$0.00,1,1125,0,,f,flexible,f,f,1,
278830,Charming craftsman 3 bdm house,1452570,Emily,29-11-2011,f,2,2,t,t,t,House,Entire home/apt,6,2,3,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,$450.00,6,$15.00,1,1125,38,92,f,strict,f,f,1,0.89
5956968,Private unit in a 1920s mansion,326758,Andrew,25-12-2010,f,1,1,t,t,t,House,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",Essentials,Shampoo}",,$120.00,1,$30.00,1,6,17,95,f,strict,f,f,1,2.45
1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,30-05-2012,t,1,1,t,t,t,House,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",,$80.00,1,$10.00,3,14,58,99,f,moderate,f,f,1,2.46
856550,Tiny Garden cabin on Queen Anne  ,4016632,Jean-Marc,30-10-2012,t,5,5,t,t,t,Cabin,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Essentials,Shampoo}",,$60.00,1,$0.00,2,7,173,97,f,strict,t,t,5,4.73
4948745,Urban Charm || Downtown || Views,2166277,Aliza,18-04-2012,f,1,1,t,t,t,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,$90.00,1,$0.00,3,1125,8,97,f,strict,f,f,1,1.22
2493658,Airy + Bright Queen Anne Apartment,5177328,Andrea,21-02-2013,t,6,6,t,t,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",,$150.00,1,$0.00,2,365,32,97,f,strict,t,t,6,1.55
175576,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,19-09-2010,t,1,1,t,t,t,House,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$95.00,2,$15.00,3,7,181,97,f,moderate,t,f,1,3.33
4454295,Upper Queen Anne Craftsman House,4606439,Nadia,06-01-2013,f,1,1,t,t,t,House,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,$99.00,1,$0.00,3,1125,8,97,f,strict,f,f,1,0.98
